Team_Name,Player_Name,Player_No,espn_url,Position,Age,Height,Weight,College,Salary,espn_id,espn_headshot
Phoenix Suns,Saben Lee,38,https://www.espn.com/nba/player/_/id/4278124/saben-lee,G,24,"6' 2""",183 lbs,Vanderbilt,--,4278124,https://a.espncdn.com/i/headshots/nba/players/full/4278124.png
Phoenix Suns,Nassir Little,25,https://www.espn.com/nba/player/_/id/4395652/nassir-little,SF,24,"6' 6""",220 lbs,North Carolina,$6_250_000,4395652,https://a.espncdn.com/i/headshots/nba/players/full/4395652.png
Phoenix Suns,Jusuf Nurkic,20,https://www.espn.com/nba/player/_/id/3102530/jusuf-nurkic,C,29,"7' 0""",290 lbs,--,$16_875_000,3102530,https://a.espncdn.com/i/headshots/nba/players/full/3102530.png
Phoenix Suns,Royce O'Neale,0,https://www.espn.com/nba/player/_/id/2583632/royce-oneale,PF,30,"6' 6""",226 lbs,Baylor,$9_500_000,2583632,https://a.espncdn.com/i/headshots/nba/players/full/2583632.png
Phoenix Suns,Josh Okogie,2,https://www.espn.com/nba/player/_/id/4065663/josh-okogie,SF,25,"6' 4""",213 lbs,Georgia Tech,$2_815_937,4065663,https://a.espncdn.com/i/headshots/nba/players/full/4065663.png
Phoenix Suns,David Roddy,21,https://www.espn.com/nba/player/_/id/4593041/david-roddy,F,22,"6' 4""",255 lbs,Colorado State,$2_718_240,4593041,https://a.espncdn.com/i/headshots/nba/players/full/4593041.png
Phoenix Suns,Ish Wainright,12,https://www.espn.com/nba/player/_/id/3059307/ish-wainright,F,29,"6' 5""",250 lbs,Baylor,--,3059307,https://a.espncdn.com/i/headshots/nba/players/full/3059307.png
Portland Trail Blazers,Deandre Ayton,2,https://www.espn.com/nba/player/_/id/4278129/deandre-ayton,C,25,"7' 0""",247 lbs,Arizona,$32_459_438,4278129,https://a.espncdn.com/i/headshots/nba/players/full/4278129.png
Portland Trail Blazers,Ibou Badji,41,https://www.espn.com/nba/player/_/id/4871140/ibou-badji,C,21,"7' 0""",240 lbs,--,--,4871140,https://a.espncdn.com/i/headshots/nba/players/full/4871140.png
Portland Trail Blazers,Dalano Banton,5,https://www.espn.com/nba/player/_/id/4397885/dalano-banton,G,24,"6' 8""",204 lbs,Nebraska,$2_019_706,4397885,https://a.espncdn.com/i/headshots/nba/players/full/4397885.png
Portland Trail Blazers,Malcolm Brogdon,11,https://www.espn.com/nba/player/_/id/2566769/malcolm-brogdon,PG,31,"6' 4""",229 lbs,Virginia,$22_500_000,2566769,https://a.espncdn.com/i/headshots/nba/players/full/2566769.png
Portland Trail Blazers,Moses Brown,10,https://www.espn.com/nba/player/_/id/4397126/moses-brown,C,24,"7' 2""",258 lbs,UCLA,$2_019_706,4397126,https://a.espncdn.com/i/headshots/nba/players/full/4397126.png
Portland Trail Blazers,Toumani Camara,33,https://www.espn.com/nba/player/_/id/4431736/toumani-camara,F,23,"6' 7""",226 lbs,Dayton,$1_119_563,4431736,https://a.espncdn.com/i/headshots/nba/players/full/4431736.png
Portland Trail Blazers,Jerami Grant,9,https://www.espn.com/nba/player/_/id/2991070/jerami-grant,SF,30,"6' 7""",210 lbs,Syracuse,$27_586_207,2991070,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png
Portland Trail Blazers,Ashton Hagans,22,https://www.espn.com/nba/player/_/id/4395722/ashton-hagans,G,24,"6' 3""",190 lbs,Kentucky,--,4395722,https://a.espncdn.com/i/headshots/nba/players/full/4395722.png
Portland Trail Blazers,Scoot Henderson,0,https://www.espn.com/nba/player/_/id/4683678/scoot-henderson,G,20,"6' 3""",202 lbs,--,$9_770_880,4683678,https://a.espncdn.com/i/headshots/nba/players/full/4683678.png
Portland Trail Blazers,Justin Minaya,24,https://www.espn.com/nba/player/_/id/4278111/justin-minaya,F,24,"6' 5""",205 lbs,Providence,--,4278111,https://a.espncdn.com/i/headshots/nba/players/full/4278111.png
Portland Trail Blazers,Kris Murray,8,https://www.espn.com/nba/player/_/id/4594326/kris-murray,F,23,"6' 8""",210 lbs,Iowa,$2_847_480,4594326,https://a.espncdn.com/i/headshots/nba/players/full/4594326.png
Portland Trail Blazers,Duop Reath,26,https://www.espn.com/nba/player/_/id/4066268/duop-reath,C,27,"6' 9""",245 lbs,LSU,$1_951_220,4066268,https://a.espncdn.com/i/headshots/nba/players/full/4066268.png
