
NYR,new-york-rangers,Vincent Trocheck,16,30,5'11",187 lbs,R,Pittsburgh,PA,07/11/93,
NYR,new-york-rangers,Mika Zibanejad,93,30,6'2",201 lbs,R,Huddinge,Sweden,04/18/93,
NYR,new-york-rangers,Will Cuylle,50,22,6'3",210 lbs,,Toronto,CAN,02/05/02,
NYR,new-york-rangers,Chris Kreider,20,32,6'3",233 lbs,L,Boxford,MA,04/30/91,
NYR,new-york-rangers,Alexis Lafreniere,13,22,6'1",194 lbs,L,SaintEustache,CAN,10/11/01,
NYR,new-york-rangers,Artemi Panarin,10,32,6'0",175 lbs,R,Korkino,USSR,10/30/91,
NYR,new-york-rangers,Jimmy Vesey,26,30,6'2",202 lbs,L,Boston,MA,05/26/93,
NYR,new-york-rangers,Alex Belzile,60,32,6'0",195 lbs,R,RiviereduLoup,CAN,08/31/91,
NYR,new-york-rangers,Kaapo Kakko,24,23,6'2",205 lbs,L,Turku,Finland,02/13/01,
NYR,new-york-rangers,Blake Wheeler,17,37,6'5",222 lbs,R,Plymouth,MN,08/31/86,
NYR,new-york-rangers,Adam Fox,23,26,5'11",185 lbs,R,Jericho,NY,02/17/98,
NYR,new-york-rangers,Erik Gustafsson,56,31,6'1",189 lbs,L,Nynashamn,Sweden,03/14/92,
NYR,new-york-rangers,Zac Jones,6,23,5'10",176 lbs,L,Glen Allen,VA,10/18/00,
NYR,new-york-rangers,Ryan Lindgren,55,26,6'0",193 lbs,L,Burnsville,MN,02/11/98,
NYR,new-york-rangers,K&#x27;Andre Miller,79,24,6'5",210 lbs,L,Hopkins,MN,01/21/00,
NYR,new-york-rangers,Matthew Robertson,44,22,6'4",201 lbs,L,Edmonton,CAN,03/09/01,
NYR,new-york-rangers,Braden Schneider,4,22,6'3",211 lbs,R,Prince Albert,CAN,09/20/01,
NYR,new-york-rangers,Jacob Trouba,8,29,6'3",209 lbs,R,Rochester,MI,02/26/94,
NYR,new-york-rangers,Jonathan Quick,32,38,6'1",215 lbs,L,Hamden,CT,01/21/86,
NYR,new-york-rangers,Igor Shesterkin,31,28,6'1",197 lbs,L,Moscow,Russia,12/30/95,
PHI,philadelphia-flyers,Sean Couturier,14,31,6'4",210 lbs,L,Phoenix,AZ,12/07/92,
PHI,philadelphia-flyers,Morgan Frost,48,24,6'0",193 lbs,L,Aurora,CAN,05/14/99,
PHI,philadelphia-flyers,Scott Laughton,21,29,6'1",191 lbs,L,Oakville,CAN,05/30/94,
PHI,philadelphia-flyers,Ryan Poehling,25,25,6'2",204 lbs,L,Lakeville,MN,01/03/99,
PHI,philadelphia-flyers,Noah Cates,27,25,6'2",194 lbs,L,Stillwater,MN,02/05/99,
PHI,philadelphia-flyers,Nicolas Deslauriers,44,33,6'1",218 lbs,L,La Salle,CAN,02/22/91,
PHI,philadelphia-flyers,Joel Farabee,86,24,6'0",186 lbs,L,Syracuse,NY,02/25/00,
PHI,philadelphia-flyers,Cam Atkinson,89,34,5'8",175 lbs,R,Riverside,CT,06/05/89,
PHI,philadelphia-flyers,Bobby Brink,10,22,5'8",169 lbs,R,Minnetonka,MN,07/08/01,
PHI,philadelphia-flyers,Tyson Foerster,71,22,6'2",215 lbs,R,Alliston,CAN,01/18/02,
PHI,philadelphia-flyers,Garnet Hathaway,19,32,6'2",212 lbs,R,Naples,FL,11/23/91,
PHI,philadelphia-flyers,Travis Konecny,11,26,5'10",192 lbs,R,London,CAN,03/11/97,
PHI,philadelphia-flyers,Olle Lycksell,62,24,5'10",163 lbs,,Oskarshamn,Sweden,08/24/99,
PHI,philadelphia-flyers,Owen Tippett,74,25,6'1",210 lbs,R,Peterborough,CAN,02/16/99,
PHI,philadelphia-flyers,Emil Andrae,36,22,5'8",181 lbs,,Vasteras,Sweden,02/23/02,
PHI,philadelphia-flyers,Jamie Drysdale,9,21,5'11",185 lbs,R,Toronto,CAN,04/08/02,
PHI,philadelphia-flyers,Ryan Ellis,94,33,5'10",180 lbs,R,Hamilton,CAN,01/03/91,
PHI,philadelphia-flyers,Victor Mete,98,25,5'9",187 lbs,L,Woodbridge,CAN,06/07/98,
PHI,philadelphia-flyers,Rasmus Ristolainen,55,29,6'4",208 lbs,R,Turku,Finland,10/27/94,
PHI,philadelphia-flyers,Travis Sanheim,6,27,6'4",222 lbs,L,Elkhorn,CAN,03/29/96,
PHI,philadelphia-flyers,Nick Seeler,24,30,6'3",197 lbs,L,Eden Prairie,MN,06/03/93,
PHI,philadelphia-flyers,Marc Staal,18,37,6'4",208 lbs,L,Thunder Bay,CAN,01/13/87,
PHI,philadelphia-flyers,Sean Walker,26,29,5'11",191 lbs,R,Keswick,CAN,11/13/94,
PHI,philadelphia-flyers,Cam York,8,23,6'0",194 lbs,L,Anaheim,CA,01/05/01,
PHI,philadelphia-flyers,Egor Zamula,5,23,6'3",200 lbs,L,Chelyabinsk,Russia,03/30/00,
PHI,philadelphia-flyers,Samuel Ersson,33,24,6'3",194 lbs,,Falun,Sweden,10/20/99,
PHI,philadelphia-flyers,Carter Hart,79,25,6'2",196 lbs,L,Sherwood Park,CAN,08/13/98,
PHI,philadelphia-flyers,Cal Petersen,40,29,6'2",185 lbs,R,Waterloo,IA,10/19/94,
PIT,pittsburgh-penguins,Noel Acciari,55,32,5'10",209 lbs,R,Johnston,RI,12/01/91,
PIT,pittsburgh-penguins,Jeff Carter,77,39,6'3",219 lbs,R,London,CAN,01/01/85,
PIT,pittsburgh-penguins,Sidney Crosby,87,36,5'11",200 lbs,L,Cole Harbour,CAN,08/07/87,
PIT,pittsburgh-penguins,Lars Eller,20,34,6'2",207 lbs,L,Rodovre,Denmark,05/08/89,
PIT,pittsburgh-penguins,Jansen Harkins,43,26,6'1",197 lbs,L,Cleveland,OH,05/23/97,
PIT,pittsburgh-penguins,Evgeni Malkin,71,37,6'3",195 lbs,L,Magnitogorsk,USSR,07/31/86,
PIT,pittsburgh-penguins,Matthew Phillips,16,25,5'8",160 lbs,R,Calgary,CAN,04/06/98,
PIT,pittsburgh-penguins,Karel Plasek,23,5'11",154 lbs,,Prerov,Czechoslovakia,07/28/00,
PIT,pittsburgh-penguins,Jake Guentzel,59,29,5'11",180 lbs,L,Omaha,NE,10/06/94,
PIT,pittsburgh-penguins,Joona Koppanen,15,26,6'5",192 lbs,L,Tampere,Finland,02/25/98,
PIT,pittsburgh-penguins,Matt Nieto,83,31,5'11",185 lbs,L,Long Beach,CA,11/05/92,
PIT,pittsburgh-penguins,Drew O&#x27;Connor,10,25,6'3",190 lbs,L,Chatham,NJ,06/09/98,
PIT,pittsburgh-penguins,Radim Zohorna,63,27,6'6",220 lbs,L,Havlickuv Brod,Czechia,04/29/96,
PIT,pittsburgh-penguins,Emil Bemstrom,24,6'0",195 lbs,R,Nykoping,Sweden,06/01/99,
PIT,pittsburgh-penguins,Marc Johnstone,9,27,6'0",181 lbs,,Cranford,NJ,06/19/96,
PIT,pittsburgh-penguins,Jesse Puljujarvi,18,25,6'4",201 lbs,R,Alvkarleby,Sweden,05/07/98,
PIT,pittsburgh-penguins,Valtteri Puustinen,48,24,5'9",183 lbs,R,Kuopio,Finland,06/04/99,
PIT,pittsburgh-penguins,Rickard Rakell,67,30,6'1",195 lbs,R,Sundbyberg,Sweden,05/05/93,
PIT,pittsburgh-penguins,Bryan Rust,17,31,5'11",192 lbs,R,Pontiac,MI,05/11/92,
PIT,pittsburgh-penguins,Reilly Smith,19,32,6'1",185 lbs,L,Toronto,CAN,04/01/91,
PIT,pittsburgh-penguins,Ryan Graves,27,28,6'5",220 lbs,L,Yarmouth,CAN,05/21/95,
PIT,pittsburgh-penguins,PierreOlivier Joseph,73,24,6'2",185 lbs,L,Chambly,CAN,07/01/99,
PIT,pittsburgh-penguins,Erik Karlsson,65,33,6'0",190 lbs,R,Landsbro,Sweden,05/31/90,
PIT,pittsburgh-penguins,Kris Letang,58,36,6'0",201 lbs,R,Montreal,CAN,04/24/87,
PIT,pittsburgh-penguins,John Ludvig,7,23,6'1",213 lbs,L,Kamloops,CAN,08/02/00,
PIT,pittsburgh-penguins,Marcus Pettersson,28,27,6'3",177 lbs,L,Skelleftea,Sweden,05/08/96,
PIT,pittsburgh-penguins,Jack Rathbone,24,5'11",190 lbs,R,West Roxbury,MA,05/20/99,
PIT,pittsburgh-penguins,Chad Ruhwedel,2,33,5'11",191 lbs,R,San Diego,CA,05/07/90,
PIT,pittsburgh-penguins,Dmitri Samorukov,53,24,6'2",180 lbs,L,Volgograd,Russia,06/16/99,
PIT,pittsburgh-penguins,Ryan Shea,5,27,6'2",200 lbs,L,Milton,MA,02/11/97,
PIT,pittsburgh-penguins,Tristan Jarry,35,28,6'2",194 lbs,L,Surrey,CAN,04/29/95,
PIT,pittsburgh-penguins,Alex Nedeljkovic,39,28,6'0",208 lbs,L,Parma,OH,01/07/96,
WSH,washington-capitals,Nicklas Backstrom,19,36,6'1",202 lbs,L,Gavle,Sweden,11/23/87,
WSH,washington-capitals,Evgeny Kuznetsov,92,31,6'2",207 lbs,L,Chelyabinsk,Russia,05/19/92,
WSH,washington-capitals,Hendrix Lapierre,29,22,6'0",180 lbs,L,Gatineau,CAN,02/09/02,
WSH,washington-capitals,Connor McMichael,24,23,6'0",180 lbs,L,Ajax,CAN,01/15/01,
WSH,washington-capitals,Aliaksei Protas,21,23,6'6",225 lbs,L,Vitebsk,Belarus,01/06/01,
WSH,washington-capitals,Michael Sgarbossa,23,31,5'11",175 lbs,L,Campbellville,CAN,07/25/92,
WSH,washington-capitals,Dylan Strome,17,26,6'3",200 lbs,L,Mississauga,CAN,03/07/97,
WSH,washington-capitals,Beck Malenstyn,47,26,6'3",200 lbs,L,Delta,CAN,02/04/98,
WSH,washington-capitals,Sonny Milano,15,27,6'0",194 lbs,L,Massapequa,NY,05/12/96,
WSH,washington-capitals,Ivan Miroshnichenko,63,20,6'1",185 lbs,R,Ussuriysk,Russia,02/04/04,
WSH,washington-capitals,Alex Ovechkin,8,38,6'3",238 lbs,R,Moscow,USSR,09/17/85,
WSH,washington-capitals,Max Pacioretty,67,35,6'2",217 lbs,L,New Canaan,CT,11/20/88,
WSH,washington-capitals,Nicolas AubeKubel,96,27,6'0",207 lbs,R,Slave Lake,CAN,05/10/96,
WSH,washington-capitals,Nic Dowd,26,33,6'1",193 lbs,R,Huntsville,AL,05/27/90,
WSH,washington-capitals,Pierrick Dube,72,23,5'9",175 lbs,,Lyon,France,01/07/01,
WSH,washington-capitals,Anthony Mantha,39,29,6'5",234 lbs,L,Longueuil,CAN,09/16/94,
WSH,washington-capitals,T.J. Oshie,77,37,6'0",187 lbs,R,Everett,WA,12/23/86,
WSH,washington-capitals,Tom Wilson,43,29,6'4",220 lbs,R,Toronto,CAN,03/29/94,
WSH,washington-capitals,Alexander Alexeyev,27,24,6'4",213 lbs,L,Saint Petersburg,Russia,11/15/99,
WSH,washington-capitals,Ethan Bear,25,26,5'11",197 lbs,R,Regina,CAN,06/26/97,
WSH,washington-capitals,John Carlson,74,34,6'3",215 lbs,R,Natick,MA,01/10/90,
WSH,washington-capitals,Joel Edmundson,6,30,6'5",221 lbs,L,Brandon,CAN,06/28/93,
WSH,washington-capitals,Martin Fehervary,42,24,6'2",199 lbs,L,Bratislava,Slovakia,10/06/99,
WSH,washington-capitals,Hardy Haman Aktell,4,25,6'3",198 lbs,,Kage,Sweden,07/04/98,
WSH,washington-capitals,Nick Jensen,3,33,6'1",205 lbs,R,Rogers,MN,09/21/90,
WSH,washington-capitals,Rasmus Sandin,38,23,5'11",182 lbs,L,Uppsala,Sweden,03/07/00,
WSH,washington-capitals,Trevor van Riemsdyk,57,32,6'3",191 lbs,R,Middletown,NJ,07/24/91,
WSH,washington-capitals,Darcy Kuemper,35,33,6'5",215 lbs,L,Saskatoon,CAN,05/05/90,
WSH,washington-capitals,Charlie Lindgren,79,30,6'2",179 lbs,R,Lakeville,MN,12/18/93,
WSH,washington-capitals,Clay Stevenson,33,24,6'4",195 lbs,,Drayton Valley,CAN,03/03/99,
BOS,boston-bruins,Johnny Beecher,19,22,6'3",209 lbs,L,Elmira,NY,04/05/01,
BOS,boston-bruins,Jesper Boqvist,70,25,6'1",184 lbs,L,Falun,Sweden,10/30/98,
BOS,boston-bruins,Patrick Brown,38,31,6'1",218 lbs,R,Bloomfield Hills,MI,05/29/92,
BOS,boston-bruins,Charlie Coyle,13,31,6'3",218 lbs,R,Weymouth,MA,03/02/92,
BOS,boston-bruins,Trent Frederic,11,26,6'3",220 lbs,L,Saint Louis,MO,02/11/98,
BOS,boston-bruins,Morgan Geekie,39,25,6'3",202 lbs,R,Strathclair,CAN,07/20/98,
BOS,boston-bruins,Jakub Lauko,94,23,6'1",193 lbs,L,Prague,Czechia,03/28/00,
BOS,boston-bruins,Georgii Merkulov,42,23,5'11",179 lbs,,Ryazan,Russia,10/10/00,
BOS,boston-bruins,Matthew Poitras,51,19,5'11",180 lbs,R,Brooklin,CAN,03/10/04,
BOS,boston-bruins,Anthony Richard,90,27,5'10",163 lbs,L,TroisRivieres,CAN,12/20/96,
BOS,boston-bruins,Pavel Zacha,18,26,6'4",207 lbs,L,Brno,Czechia,04/06/97,
BOS,boston-bruins,Jake DeBrusk,74,27,6'1",198 lbs,L,Edmonton,CAN,10/17/96,
BOS,boston-bruins,Danton Heinen,43,28,6'2",195 lbs,L,Langley,CAN,07/05/95,
BOS,boston-bruins,Milan Lucic,17,35,6'3",236 lbs,L,Vancouver,CAN,06/07/88,
BOS,boston-bruins,Brad Marchand,63,35,5'9",176 lbs,L,Halifax,CAN,05/11/88,
BOS,boston-bruins,James van Riemsdyk,21,34,6'3",208 lbs,L,Middletown,NJ,05/04/89,
BOS,boston-bruins,Justin Brazeau,55,26,6'5",220 lbs,R,New Liskeard,CAN,02/02/98,
BOS,boston-bruins,David Pastrnak,88,27,6'0",196 lbs,L,Havirov,Czechia,05/25/96,
BOS,boston-bruins,Brandon Carlo,25,27,6'5",217 lbs,R,Colorado Springs,CO,11/26/96,
BOS,boston-bruins,Derek Forbort,28,31,6'4",216 lbs,L,Duluth,MN,03/04/92,
BOS,boston-bruins,Matt Grzelcyk,48,30,5'10",180 lbs,L,Charlestown,MA,01/05/94,
BOS,boston-bruins,Hampus Lindholm,27,30,6'4",224 lbs,L,Helsingborg,Sweden,01/20/94,
BOS,boston-bruins,Mason Lohrei,6,23,6'4",210 lbs,,Madison,WI,01/17/01,
BOS,boston-bruins,Charlie McAvoy,73,26,6'1",209 lbs,R,Long Beach,NY,12/21/97,
BOS,boston-bruins,Ian Mitchell,14,25,5'11",193 lbs,R,St. Albert,CAN,01/18/99,
BOS,boston-bruins,Kevin Shattenkirk,12,35,6'0",203 lbs,R,New Rochelle,NY,01/29/89,
BOS,boston-bruins,Parker Wotherspoon,29,26,6'1",195 lbs,L,Surrey,CAN,08/24/97,
BOS,boston-bruins,Brandon Bussi,70,25,6'5",220 lbs,,Sound Beach,NY,06/25/98,
BOS,boston-bruins,Jeremy Swayman,1,25,6'3",195 lbs,L,Anchorage,AK,11/24/98,
BOS,boston-bruins,Linus Ullmark,35,30,6'4",213 lbs,L,Lugnvik,Sweden,07/31/93,
BUF,buffalo-sabres,Dylan Cozens,24,23,6'3",195 lbs,R,Whitehorse,CAN,02/09/01,
